time	magnitude	longitude	latitude	depth(m)
2019-07-04T17:58:02.620000	3.290	-117.517	35.701	2770.000
2019-07-04T17:57:31.430000	2.910	-117.525	35.661	1440.000
2019-07-04T17:52:41.530000	2.940	-117.540	35.719	1440.000
2019-07-04T17:51:46.450000	3.400	-117.539	35.691	160.000
2019-07-04T17:47:17.570000	3.590	-117.550	35.744	1490.000
2019-07-04T17:46:50.080000	3.380	-117.619	35.639	7610.000
2019-07-04T17:46:03.730000	3.400	-117.610	35.641	10160.000
2019-07-04T17:44:32.820000	4.100	-117.507	35.688	1540.000
2019-07-04T17:44:24.020000	2.770	-117.540	35.748	9400.000
2019-07-04T17:43:29.200000	3.600	-117.549	35.678	5150.000
2019-07-04T17:42:54.130000	3.220	-117.559	35.730	7840.000
2019-07-04T17:41:20.850000	3.300	-117.529	35.727	1970.000
2019-07-04T17:40:18.530000	4.400	-117.522	35.706	2650.000
2019-07-04T17:40:02.270000	4.000	-117.572	35.726	6820.000
2019-07-04T17:39:35.380000	3.700	-117.499	35.684	10200.000
2019-07-04T17:38:47.500000	3.500	-117.578	35.621	9700.000
2019-07-04T17:37:55.590000	4.100	-117.553	35.742	4150.000
2019-07-04T17:37:25.670000	3.000	-117.453	35.678	15760.000
2019-07-04T17:35:01.660000	4.490	-117.567	35.644	4640.000
2019-07-04T17:33:49.040000	6.400	-117.506	35.705	10710.000
2019-07-04T17:15:47.110000	1.410	-117.494	35.708	11190.000
2019-07-04T17:13:51.610000	0.910	-117.477	35.711	13560.000
2019-07-04T17:12:38.200000	1.910	-117.494	35.706	10710.000
2019-07-04T17:12:15.070000	2.130	-117.507	35.706	9550.000
2019-07-04T17:11:32.860000	0.950	-117.491	35.709	11520.000
2019-07-04T17:09:20.100000	2.490	-117.499	35.707	11550.000
2019-07-04T17:02:55.360000	3.980	-117.506	35.707	10280.000
