,longitude,latitude,elevation(m),component,response,unit,id
CI.CCC..BH,-117.36453,35.52495,670.0,"E,N,Z","627368000.00,627368000.00,627368000.00",m/s,CI.CCC..BH
CI.CCC..HH,-117.36453,35.52495,670.0,"E,N,Z","627368000.00,627368000.00,627368000.00",m/s,CI.CCC..HH
CI.CLC..BH,-117.59751,35.81574,775.0,"E,N,Z","627368000.00,627368000.00,627368000.00",m/s,CI.CLC..BH
CI.CLC..HH,-117.59751,35.81574,775.0,"E,N,Z","627368000.00,627368000.00,627368000.00",m/s,CI.CLC..HH
CI.DTP..BH,-117.84581,35.26742,908.0,"E,N,Z","627368000.00,627368000.00,627368000.00",m/s,CI.DTP..BH
CI.DTP..HH,-117.84581,35.26742,908.0,"E,N,Z","627368000.00,627368000.00,627368000.00",m/s,CI.DTP..HH
CI.JRC2..BH,-117.80885,35.98249,1469.0,"E,N,Z","784866000.00,784866000.00,790478000.00",m/s,CI.JRC2..BH
CI.JRC2..HH,-117.80885,35.98249,1469.0,"E,N,Z","784866000.00,784866000.00,790478000.00",m/s,CI.JRC2..HH
CI.LRL..BH,-117.68212,35.47954,1340.0,"E,N,Z","628306000.00,629984000.00,627467000.00",m/s,CI.LRL..BH
CI.LRL..HH,-117.68212,35.47954,1340.0,"E,N,Z","628306000.00,629984000.00,627467000.00",m/s,CI.LRL..HH
CI.MPM..BH,-117.48901,36.05799,1839.0,"E,N,Z","627368000.00,627368000.00,627368000.00",m/s,CI.MPM..BH
CI.MPM..HH,-117.48901,36.05799,1839.0,"E,N,Z","627368000.00,627368000.00,627368000.00",m/s,CI.MPM..HH
CI.SLA..BH,-117.28332,35.89095,1174.0,"E,N,Z","622338000.00,618992000.00,616482000.00",m/s,CI.SLA..BH
CI.SLA..HH,-117.28332,35.89095,1174.0,"E,N,Z","622338000.00,618992000.00,616482000.00",m/s,CI.SLA..HH
CI.SRT..BH,-117.75051,35.69235,667.0,"E,N,Z","629145000.00,629145000.00,629145000.00",m/s,CI.SRT..BH
CI.SRT..HH,-117.75051,35.69235,667.0,"E,N,Z","629145000.00,629145000.00,629145000.00",m/s,CI.SRT..HH
CI.TOW2..BH,-117.76488,35.80856,685.0,"E,N,Z","626910000.00,626910000.00,626838000.00",m/s,CI.TOW2..BH
CI.TOW2..HH,-117.76488,35.80856,685.0,"E,N,Z","626910000.00,626910000.00,626838000.00",m/s,CI.TOW2..HH
CI.WBM..BH,-117.89049,35.60839,892.0,"E,N,Z","314573000.00,314573000.00,314573000.00",m/s,CI.WBM..BH
CI.WBM..HH,-117.89049,35.60839,892.0,"E,N,Z","314573000.00,314573000.00,314573000.00",m/s,CI.WBM..HH
CI.WCS2..BH,-117.76526,36.02521,1143.0,"E,N,Z","626910000.00,626910000.00,626838000.00",m/s,CI.WCS2..BH
CI.WCS2..HH,-117.76526,36.02521,1143.0,"E,N,Z","626910000.00,626910000.00,626838000.00",m/s,CI.WCS2..HH
CI.WMF..BH,-117.85486,36.11758,1537.4,"E,N,Z","625790000.00,627467000.00,625790000.00",m/s,CI.WMF..BH
CI.WMF..HH,-117.85486,36.11758,1537.4,"E,N,Z","625790000.00,627467000.00,625790000.00",m/s,CI.WMF..HH
CI.WNM..EH,-117.90616,35.8422,974.3,Z,69328700.00,m/s,CI.WNM..EH
CI.WRC2..BH,-117.65038,35.9479,943.0,"E,N,Z","629145000.00,629145000.00,629145000.00",m/s,CI.WRC2..BH
CI.WRC2..HH,-117.65038,35.9479,943.0,"E,N,Z","629145000.00,629145000.00,629145000.00",m/s,CI.WRC2..HH
CI.WRV2..EH,-117.8904,36.00774,1070.0,Z,71450700.00,m/s,CI.WRV2..EH
CI.WVP2..EH,-117.81769,35.94939,1465.0,Z,68041300.00,m/s,CI.WVP2..EH
